local code,text,table_name,parent_varname,local code system,code,display,code system,comment
HP:0001252,Hypotonia,subject,hpo_present,subject,HP:0001252,Hypotonia,https://uberon.github.io/,
HP:0001263,Global developmental delay,subject,hpo_present,subject,HP:0001263,Global developmental delay,https://uberon.github.io/,
HP:0001274,Agenesis of corpus callosum,subject,hpo_present,subject,HP:0001274,Agenesis of corpus callosum,https://uberon.github.io/,
HP:0001324,Muscle weakness,subject,hpo_present,subject,HP:0001324,Muscle weakness,https://uberon.github.io/,
HP:0001367,Abnormal joint morphology,subject,hpo_present,subject,HP:0001367,Abnormal joint morphology,https://uberon.github.io/,
HP:0001438,Abnormal abdomen morphology,subject,hpo_present,subject,HP:0001438,Abnormal abdomen morphology,https://uberon.github.io/,
HP:0001507,Growth abnormality,subject,hpo_present,subject,HP:0001507,Growth abnormality,https://uberon.github.io/,
HP:0001574,Abnormality of the integument,subject,hpo_present,subject,HP:0001574,Abnormality of the integument,https://uberon.github.io/,
HP:0001595,Abnormal hair morphology,subject,hpo_present,subject,HP:0001595,Abnormal hair morphology,https://uberon.github.io/,
HP:0001626,Abnormality of the cardiovascular system,subject,hpo_present,subject,HP:0001626,Abnormality of the cardiovascular system,https://uberon.github.io/,
HP:0001679,Abnormal aortic morphology,subject,hpo_present,subject,HP:0001679,Abnormal aortic morphology,https://uberon.github.io/,
HP:0001743,Abnormality of the spleen,subject,hpo_present,subject,HP:0001743,Abnormality of the spleen,https://uberon.github.io/,
HP:0001760,Abnormal foot morphology,subject,hpo_present,subject,HP:0001760,Abnormal foot morphology,https://uberon.github.io/,
HP:0001871,Abnormality of blood and blood-forming tissues,subject,hpo_present,subject,HP:0001871,Abnormality of blood and blood-forming tissues,https://uberon.github.io/,
HP:0001881,Abnormal leukocyte morphology,subject,hpo_present,subject,HP:0001881,Abnormal leukocyte morphology,https://uberon.github.io/,
HP:0001883,Talipes,subject,hpo_present,subject,HP:0001883,Talipes,https://uberon.github.io/,
HP:0001939,Abnormality of metabolism/homeostasis,subject,hpo_present,subject,HP:0001939,Abnormality of metabolism/homeostasis,https://uberon.github.io/,
HP:0002086,Abnormality of the respiratory system,subject,hpo_present,subject,HP:0002086,Abnormality of the respiratory system,https://uberon.github.io/,
HP:0002088,Abnormal lung morphology,subject,hpo_present,subject,HP:0002088,Abnormal lung morphology,https://uberon.github.io/,
HP:0002140,Ischemic stroke,subject,hpo_present,subject,HP:0002140,Ischemic stroke,https://uberon.github.io/,
HP:0002308,Arnold-Chiari malformation,subject,hpo_present,subject,HP:0002308,Arnold-Chiari malformation,https://uberon.github.io/,
HP:0002564,obsolete Malformation of the heart and great vessels,subject,hpo_present,subject,HP:0002564,obsolete Malformation of the heart and great vessels,https://uberon.github.io/,
HP:0002650,Scoliosis,subject,hpo_present,subject,HP:0002650,Scoliosis,https://uberon.github.io/,
HP:0002652,Skeletal dysplasia,subject,hpo_present,subject,HP:0002652,Skeletal dysplasia,https://uberon.github.io/,
HP:0002664,Neoplasm,subject,hpo_present,subject,HP:0002664,Neoplasm,https://uberon.github.io/,
HP:0002715,Abnormality of the immune system,subject,hpo_present,subject,HP:0002715,Abnormality of the immune system,https://uberon.github.io/,
HP:0002721,Immunodeficiency,subject,hpo_present,subject,HP:0002721,Immunodeficiency,https://uberon.github.io/,
HP:0002803,Congenital contracture,subject,hpo_present,subject,HP:0002803,Congenital contracture,https://uberon.github.io/,
HP:0002960,Autoimmunity,subject,hpo_present,subject,HP:0002960,Autoimmunity,https://uberon.github.io/,
HP:0003011,Abnormality of the musculature,subject,hpo_present,subject,HP:0003011,Abnormality of the musculature,https://uberon.github.io/,
HP:0003549,Abnormality of connective tissue,subject,hpo_present,subject,HP:0003549,Abnormality of connective tissue,https://uberon.github.io/,
HP:0003634,Amyoplasia,subject,hpo_present,subject,HP:0003634,Amyoplasia,https://uberon.github.io/,
HP:0003808,Abnormal muscle tone,subject,hpo_present,subject,HP:0003808,Abnormal muscle tone,https://uberon.github.io/,
HP:0004377,Hematological neoplasm,subject,hpo_present,subject,HP:0004377,Hematological neoplasm,https://uberon.github.io/,
HP:0004439,Craniofacial dysostosis,subject,hpo_present,subject,HP:0004439,Craniofacial dysostosis,https://uberon.github.io/,
HP:0004944,Dilatation of the cerebral artery,subject,hpo_present,subject,HP:0004944,Dilatation of the cerebral artery,https://uberon.github.io/,
HP:0005294,Arterial dissection,subject,hpo_present,subject,HP:0005294,Arterial dissection,https://uberon.github.io/,
HP:0005549,obsolete Congenital neutropenia,subject,hpo_present,subject,HP:0005549,obsolete Congenital neutropenia,https://uberon.github.io/,
HP:0005684,Distal arthrogryposis,subject,hpo_present,subject,HP:0005684,Distal arthrogryposis,https://uberon.github.io/,
HP:0009124,Abnormal adipose tissue morphology,subject,hpo_present,subject,HP:0009124,Abnormal adipose tissue morphology,https://uberon.github.io/,
HP:0009125,Lipodystrophy,subject,hpo_present,subject,HP:0009125,Lipodystrophy,https://uberon.github.io/,
HP:0011013,Abnormal circulating carbohydrate concentration,subject,hpo_present,subject,HP:0011013,Abnormal circulating carbohydrate concentration,https://uberon.github.io/,
HP:0011014,Abnormal glucose homeostasis,subject,hpo_present,subject,HP:0011014,Abnormal glucose homeostasis,https://uberon.github.io/,
HP:0011805,Abnormal skeletal muscle morphology,subject,hpo_present,subject,HP:0011805,Abnormal skeletal muscle morphology,https://uberon.github.io/,
HP:0011842,Abnormality of skeletal morphology,subject,hpo_present,subject,HP:0011842,Abnormality of skeletal morphology,https://uberon.github.io/,
HP:0012337,Abnormal homeostasis,subject,hpo_present,subject,HP:0012337,Abnormal homeostasis,https://uberon.github.io/,
HP:0012373,Abnormal eye physiology,subject,hpo_present,subject,HP:0012373,Abnormal eye physiology,https://uberon.github.io/,
HP:0012443,Abnormality of brain morphology,subject,hpo_present,subject,HP:0012443,Abnormality of brain morphology,https://uberon.github.io/,
HP:0012638,Abnormal nervous system physiology,subject,hpo_present,subject,HP:0012638,Abnormal nervous system physiology,https://uberon.github.io/,
HP:0012727,Thoracic aortic aneurysm,subject,hpo_present,subject,HP:0012727,Thoracic aortic aneurysm,https://uberon.github.io/,
HP:0012759,Neurodevelopmental abnormality,subject,hpo_present,subject,HP:0012759,Neurodevelopmental abnormality,https://uberon.github.io/,
HP:0025015,Abnormal vascular morphology,subject,hpo_present,subject,HP:0025015,Abnormal vascular morphology,https://uberon.github.io/,
HP:0030056,Uncombable hair,subject,hpo_present,subject,HP:0030056,Uncombable hair,https://uberon.github.io/,
HP:0033127,Abnormality of the musculoskeletal system,subject,hpo_present,subject,HP:0033127,Abnormality of the musculoskeletal system,https://uberon.github.io/,
HP:0040064,Abnormality of limbs,subject,hpo_present,subject,HP:0040064,Abnormality of limbs,https://uberon.github.io/,
HP:0100006,Neoplasm of the central nervous system,subject,hpo_present,subject,HP:0100006,Neoplasm of the central nervous system,https://uberon.github.io/,
HP:0100545,Arterial stenosis,subject,hpo_present,subject,HP:0100545,Arterial stenosis,https://uberon.github.io/,
HP:0100659,Abnormal cerebral vascular morphology,subject,hpo_present,subject,HP:0100659,Abnormal cerebral vascular morphology,https://uberon.github.io/,
HP:0200134,Epileptic encephalopathy,subject,hpo_present,subject,HP:0200134,Epileptic encephalopathy,https://uberon.github.io/,
HP:0410008,Abnormality of the peripheral nervous system,subject,hpo_present,subject,HP:0410008,Abnormality of the peripheral nervous system,https://uberon.github.io/,

